,en,vn,thailand,indonesia
statistic.script_placeholder,Enter name of script,Nhập mã thống kê,ใส่รหัสสถิติ,Masukkan kode statistik
vendor.vendor_detail,Vendor Detail,Chi tiết thông tin đối tác,Vendor Detail,Vendor Detail
vendor.title,Vendor,Đối tác,พันธมิตร,Mitra
vendor.manager,Manager,Người quản trị,ผู้จัดการ,Orang menejemen
vendor.name,Vendor name,Tên đối tác,ชื่อพันธมิตร,Nama mitra
vendor.code,Code,Mã,รหัส,Kode
vendor.added_by,Added by,Người thêm,ผู้สร้าง,Orang Dibuat
vendor.added_at,Added at,Ngày thêm,วันที่สร้าง,Tanggal Dibuat
vendor.list,Vendor,Danh sách đối tác,รายชื่อพันธมิตร,Daftar Mitra
vendor.create,Add vendor,Thêm đối tác,เพิ่มพันธมิตร,Tambahkan nama mitra
vendor.edit,Edit vendor,Sửa đối tác,แก้ไขพันธมิตร,Mengedit mitra
vendor.delete,Delete vendor,Xóa đối tác,ลบพันธมิตร,Hapus mitra
vendor.add_user_title,Vendor | Add user,Đối tác | Thêm người dùng,พันธมิตร | เพิ่มผู้ใช้,Mitra | Tambahkan pengguna
vendor.add_user,Add user,Thêm người dùng,เพิ่มผู้ใช้,Tambahkan pengguna
vendor.search_user,Search user,Tìm kiếm người dùng,ค้นหาผู้ใช้,Cari pengguna
vendor.roles,Roles,Vai trò,บทบาท,Wewenang
vendor.btn_clear,Clear all filters,Xóa người dùng,ลบผู้ใช้,Hapus pengguna
vendor.username,Username,Tên đăng nhập,ชื่อผู้ใช้,Nama pengguna
vendor.email,Email,Địa chỉ email,ที่อยู่อีเมล,Alamat email
vendor.select,Select,Chọn,เลือก,Memilih
vendor.name_length,The length of name field maximum 160 characters,Độ dài tên tối đa 160 ký tự,ชื่อยาวสูงสุด 160 ตัวอักษร, Nama panjang maksimum 160 karakter
vendor.code_length,The length of code field maximum 10 characters,Độ dài code tối đa 10 ký tự,ความยาวรหัสสูงสุด 10 ตัวอักษร,Kode panjang maksimum 10 karakter
vendor.add_user_alert,You can not add greater 10 users to vendor in one time,Bạn không thể thêm quá 10 người vào vendor trong 1 thời điểm,คุณไม่สามารถเพิ่มผู้ใช้มากกว่า 10 รายให้กับผู้ขายในครั้งเดียว,Anda tidak dapat menambahkan lebih dari 10 orang ke vendor dalam waktu
vendor.country,Country,Quốc gia,ประเทศ,Bangsa
vendor.role,Role,Vai trò,บทบาท,Wewenang
vendor.select_all,Select all,Chọn tất cả,เลือกทั้งหมด,Pilih Semua
vendor.telesale,Telesale,Bán hàng,เทเลเซลล์,Menjual
vendor.telesale_leader,Telesale Leader,Trưởng nhóm bán hàng,หัวหน้าทีมเทเลเซลล์,Ketua Tim Penjualan
vendor.marketer,Marketer,Tiếp thị,นักการตลาด,Pemasaran
vendor.marketer_leader,Maketer Leader,Trưởng nhóm tiếp thị,หัวหน้าทีมการตลาด,Pemimpin tim pemasaran
vendor.warehouse,Warehouse,Kho,คลังสินค้า,Gudang
vendor.internship,Internship,Thực tập,ฝึกงาน,Intership
vendor.admin,Admin,Quản lý,ผู้ดูแลระบบ,Menejemen
vendor.administrator,Administrator,Quản lý,ผู้ดูแลระบบ,Menejemen
vendor.package,Package,Gói,แพ็คเกจ,Paket
vendor.source_package,Source package,Gói tài nguyên,แพ็คเกจทรัพยากร,Paket sumber daya
vendor.code,Vendor code,Mã đối tác,รหัสพันธมิตร,Kode mitra
vendor.select_vendor,Select vendor,Chọn đối tác,เลือกพันธมิตร,Pilih mitra
vendor.users,Users,Người dùng,ผู้ใช้,Pengguna
vendor.not_in,You are not in any Vendor. Please contact to the adminstrator,Bạn chưa được thêm vào bất kỳ đối tác nào. Vui lòng liên hệ với quản trị viên,คุณยังไม่ได้ถูกเพิ่มในพันธมิตรใดๆ โปรดติดต่อผู้ดูแลระบบ,Anda belum ditambahkan ke mitra mana pun. Silahkan hubungi admin
vendor.select_manager,Select manager,Chọn người quản trị,เลือกผู้ดูแลระบบ,Pilih administrator
vendor.select_package,Select package,Chọn gói,เลือกแพ็คเกจ,Pilih paket
vendor.select_country,Select country,Chọn quốc gia,เลือกประเทศ,Pilih negara
vendor.select_role,Select role,Chọn vai trò,เลือกบทบาท,Pilih wewenang
vendor.input_name,Please input your name,Vui lòng nhập tên đối tác,กรุณากรอกชื่อของคุณ,Silahkan masukan nama anda
vendor.input_code,Please input your code,Vui lòng nhập mã đối tác,กรุณาใส่รหัสพันธมิตร,Silakan masukkan kode mitra
vendor.select_manager_validate,Please select your manager,Vui lòng chọn người quản trị,กรุณาเลือกผู้ดูแลระบบ,Silakan pilih administrator
vendor.select_package,Please select your package,Vui lòng chọn gói,กรุณาเลือกแพ็คเกจ,Silahkan pilih paket
vendor.select_country_validate,Please select your country,Vui lòng chọn quốc gia,กรุณาเลือกประเทศ,Silakan pilih negara
vendor.select_role,Please select your role,Vui lòng chọn vai trò,กรุณาเลือกบทบาท,Silakan pilih wewenang
vendor.name_length,Name cannot be longer than 160 characters,Tên không thể dài hơn 160 ký tự,ชื่อต้องมีความยาวไม่เกิน 160 ตัวอักษร,Nama tidak boleh lebih dari 160 karakter
vendor.code_length,Code cannot be longer than 10 characters,Mã đối tác không thể dài hơn 10 ký tự,รหัสพันธมิตรต้องมีความยาวไม่เกิน 10 ตัวอักษร,Kode mitra tidak boleh lebih dari 10 karakter
vendor.name_code_filter,Seach name or code of vendor,Tìm kiếm tên hoặc mã của đối tác,ค้นหาชื่อหรือรหัสของพันธมิตร,Cari nama atau kode mitra
vendor.filter_button,Filter,Lọc,ฟิลเตอร์,Filter
vendor.clear_button,Clear,Xóa,ลบ,Menghapus
vendor.name_vendor,Name,Tên,ชื่อ,Nama
vendor.code_vendor,Code,Mã,รหัส,Kode
vendor.name_placeholder,Enter name of vendor,Nhập tên đối tác,ใส่ชื่อพันธมิตรของคุณ,Masukkan nama mitra Anda
vendor.code_placeholder,Enter code of vendor,Nhập mã đối tác,ใส่รหัสพันธมิตร,Masukkan kode mitra
vendor.admin_placeholder,Enter admin of vendor,Nhập quản lý,Enter admin of vendor,Enter admin of vendor
vendor.client_id_placeholder,Enter client Id of vendor,Nhập Client Id,Enter client Id of vendor,Enter client Id of vendor
vendor.client_id_existed,Client Id is already existed,Client Id đã tồn tại,Client Id is already existed,Client Id is already existed
vendor.vendor_existed,Vendor code is already existed,Mã đối tác đã tồn tại,Vendor code is already existed,Vendor code is already existed
vendor.client_secret_placeholder,Enter client secret of vendor,Nhập client secret,Enter client secret of vendor,Enter client secret of vendor
vendor.courier,Courier,Đơn vị vận chuyển,หน่วยจัดส่ง,Satuan pengiriman
vendor.select_courier_validate,Please select courier,Vui lòng chọn đơn vị vận chuyển,กรุณาเลือกหน่วยจัดส่ง,Silakan pilih perusahaan pengiriman
vendor.select_courier,Select courier,Chọn đơn vị vận chuyển,เลือกหน่วยจัดส่ง,Pilih pihak pengiriman
vendor.phone,Phone,Số điện thoại,โทรศัพท์,Phone
vendor.status,Status,Trạng thái,สถานะ,Status
vendor.phone_filter,Search phone of vendor,Tìm kiếm số điện thoại của đối tác,ค้นหาโทรศัพท์ของผู้ขาย,Search phone of vendor
vendor.created_at,Created at,Thời gian tạo,สร้างที่,Created at
vendor.country,Country,Quốc gia,ประเทศ,Country
vendor.user_validate,Can't empty,Username không được trống,ว่างเปล่าไม่ได้,can't empty
vendor.client_id,Client ID,Client ID,Client ID,Client ID
vendor.client_secret,Client Secret,Client Secret,Client Secret,Client Secret
vendor.client_url,App URL,App URL,App URL,App URL
vendor.search,Search Vendor...,Tìm đối tác...,Search Vendor...,Search Vendor...
setting.time_zone,Time zone,Thời gian theo khu vực,เวลาตามภูมิภาค,Waktu menurut wilayah
setting.select_timezone,Select the time zone,Lựa chọn múi giờ,เลือกเขตเวลา,Pilih zona waktu
setting.contact_setting,Contact setting,Thiết lập contact,ตั้งค่าผู้ติดต่อ,Siapkan kontak
setting.quantity_length,The length of quantity field maximum 3 characters,Độ dài số lượng contact tối đa 3 ký tự,ความยาวจำนวนผู้ติดต่อสูงสุด 3 ตัวอักษร,Panjang kontak maksimum adalah 3 karakter
setting.maximum_length,The length of maximum field maximum 3 characters,Độ dài contact chưa gọi tối đa 3 ký tự,ความยาวของผู้ติดต่อที่ไม่ได้โทรสูงสุด 3 ตัวอักษร,Panjang kontak maksimum yang tidak dipanggil adalah 3 karakter ký
setting.quantity_number,The quantity must be a number,Số lượng contact phải là dạng số,จำนวนผู้ติดต่อต้องเป็นตัวเลข,Jumlah kontak harus numerik
setting.maximum_number,The maximum must be a number,Số lượng contact chưa gọi phải là dạng số,จำนวนผู้ติดต่อที่ไม่ได้โทรจะต้องอยู่ในรูปของตัวเลข,Jumlah kontak yang belum terpanggil harus berupa angka
setting.contact_quantity,Contact numbers can be received each time,Số lượng contact có thể nhận được mỗi lần,จำนวนผู้ติดต่อที่สามารถรับได้ในแต่ละครั้ง,Jumlah kontak yang dapat diterima sekaligus
setting.contact_maximum,The maximum number of contacts not called to receive more contact,Số contact tối đa chưa gọi để có thể nhận thêm contact,จำนวนผู้ติดต่อสูงสุดที่ไม่ได้โทรเพื่อรับผู้ติดต่อเพิ่ม,Jumlah maksimum kontak yang belum dipanggil untuk menerima lebih banyak kontak
setting.notselected_timezone,You have not selected the time zone,Bạn chưa chọn thời gian theo khu vực,คุณยังไม่ได้เลือกเวลาตามภูมิภาค,Anda belum memilih waktu berdasarkan wilayah
setting.cancel,Cancel,Hủy,ยกเลิก,Batal
setting.save,Save,Lưu,บันทึก,Menyimpan
setting.setting,Setting,Cài đặt,การตั้งค่า,Pengaturan
setting.time_zone_select,Select time zone,Chọn khu vực,เลือกภูมิภาค,Pilih wilayah
page.home,Home,Trang chủ,หน้าแรก,Halaman rumah
page.product,Product,Sản phẩm,สินค้า,Produk
checkbox.all,All,Tất cả,ทั้งหมด,Semua
redirect_buffer.description,Website is redirecting. Please wait a moment,Đang chuyển trang. Vui lòng đợi một chút,เว็บไซต์กำลังเปลี่ยนเส้นทาง โปรดรอสักครู่,Sedang pindah halaman. Tolong tunggu sebentar
telesale.select_vendor,Select vendor,Chọn vendor,เลือกผู้ขาย,Pilih vendor
placeholder.select_country,Select country,Chọn quốc gia,เลือกประเทศ,Pilih negara
placeholder.select_province,Select province,Chọn tỉnh/thành phố,เลือกจังหวัด/เมือง,Pilih provinsi/kota
placeholder.select_city,Select city,Chọn quận/huyện,เลือกอำเภอ/เขต,Pilih kabupaten/kabupaten
placeholder.select_area,Select area,Chọn vùng,เลือกภูมิภาค,Pilih wilayah
placeholder.select_user,Search user,Tìm kiếm user,Search user,Search user
placeholder.select_marketer,Search Marketer,Chọn người Tiếp thị,Search Marketer,Search Marketer
product.price_policy_title,Product price policy,Chính sách giá bán sản phẩm,นโยบายราคาสินค้า,Product price policy
product.price_policy_table,List of price policy,Chính sách giá bán,รายการนโยบายราคา,List of price policy
contactDetail.addEventModalTitle,Add event,Thêm sự kiện,เพิ่มกิจกรรม,Add event
contact-detail.total_quantity,Total quantity,Tổng số lượng,ปริมาณทั้งหมด,Total quantity
contact-detail.price_policy,Price Policy,Chính sách giá,Price Policy,Price Policy
contact-detail.total_payment,Total payment,Tổng tiền thanh toán,การชำระเงินทั้งหมด,Total payment
contact-detail.total_payment_required,Please enter total payment,Vui lòng nhập tổng tiền thanh toán,กรุณาระบุยอดชำระ,Please enter total payment
contact-detail.call_status_required,Please choose status,Vui lòng chọn trạng thái cuộc gọi,กรุณาเลือกสถานะ,Please choose status
contact-detail.appointment_required,Please select the appointment date,Vui lọng chọn hẹn,กรุณาเลือกวันที่นัดหมาย,Please select the appointment date
contact-detail.campaign_ad_required,Please select the campaign ads,Vui lòng chọn chiến dịch,โปรดเลือกโฆษณาของแคมเปญ,Please select the campaign ads
contact-detail.district_required,Please select district,Vui lòng chọn quận/huyện,กรุณาเลือกอำเภอ,Please select district
contact-detail.area_required,Please input the area,Vui lòng nhập vùng,กรุณาระบุพื้นที่,Please input the area
contact_detail.change_logging,"{{timestampz}} on system <strong>{{module}}</strong>, <strong>{{actor}}</strong> change<br/><% _.forEach(changes, function(change) { %><strong>{{change.key}}</strong> from <strong>{{change.left}}</strong> to <strong>{{change.right}}</strong><br/> <% }); %>","{{timestampz}} tại hệ thống <strong>{{module}}</strong>, <strong>{{actor}}</strong> thay đổi<br/><% _.forEach(changes, function(change) { %><strong>{{change.key}}</strong> từ <strong>{{change.left}}</strong> thành <strong>{{change.right}}</strong><br/> <% }); %>","{{timestampz}} on system <strong>{{module}}</strong>, <strong>{{actor}}</strong> change<br/><% _.forEach(changes, function(change) { %><strong>{{change.key}}</strong> from <strong>{{change.left}}</strong> to <strong>{{change.right}}</strong><br/> <% }); %>","{{timestampz}} on system <strong>{{module}}</strong>, <strong>{{actor}}</strong> change<br/><% _.forEach(changes, function(change) { %><strong>{{change.key}}</strong> from <strong>{{change.left}}</strong> to <strong>{{change.right}}</strong><br/> <% }); %>"
contact_detail.change_event,"{{timestampz}} on system <strong>{{module}}</strong>, <strong>{{actor}}</strong> creates call with status: <strong>{{status}}</strong> to phone number: <strong>{{phone}}</strong>","{{timestampz}} tại hệ thống <strong>{{module}}</strong>, <strong>{{actor}}</strong> tạo cuộc gọi với trạng thái: <strong>{{status}}</strong> đến số điên thoại: <strong>{{phone}}</strong>","{{timestampz}} on system <strong>{{module}}</strong>, <strong>{{actor}}</strong> creates call with status: <strong>{{status}}</strong> to phone number: <strong>{{phone}}</strong>","{{timestampz}} on system <strong>{{module}}</strong>, <strong>{{actor}}</strong> creates call with status: <strong>{{status}}</strong> to phone number: <strong>{{phone}}</strong>"
contact_activity.name,name,tên,name,name
contact_activity.note,note,ghi chú,note,note
contact_activity.province,province,tỉnh/ thành phố,province,province
contact_activity.district,district,quận/ huyện,district,district
contact_activity.ward,Ward,Phường/ xã,Ward,Ward
contact_activity.address,complete address,địa chỉ,complete address,complete address
contact_activity.status,status,trạng thái,status,status
contact_activity.city,city,thành phố,city,city
contact_activity.assignee,assignee,người được chọn,assignee,assignee
contact_activity.isSpam,remark,remark,remark,remark
delivery_case.title,Delivery case,Delivery case,Delivery case,Delivery case
delivery_case.code,Delivery Case Code,Mã delivery case,Delivery Case Code,Delivery Case Code
delivery_case.code_pl,Enter delivery case code,Nhập mã delivery case,Enter delivery case code,Enter delivery case code
delivery_case.order_pl,Enter order code,Nhập mã đơn hàng,Enter order code,Enter order code
delivery_case.assignee,Assignee,Người được chọn,Assignee,Assignee
delivery_case.asignee_pl,Select assignee,Lựa chọn người được chọn,Select assignee,Select assignee
delivery_case.has_delivery_case,Have delivery case,Có delivery case,มีกล่องจัดส่ง,Have delivery case
delivery_case.no_delivery_case,Not have delivery case,Không có delivery case,ไม่มีกรณีการจัดส่ง,Not have delivery case
delivery_case.reason_pl,Select reason,Lựa chọn lý do,Select reason,Select reason
delivery_case.tracking_number_pl,Select tracking number,Lựa chọn tracking number,Select tracking number,Select tracking number
delivery_case.import,Import delivery case,Import delivery case,Import delivery case,Import delivery case
delivery_case.status_error,Error status,Trạng thái lỗi,Error status,Error status
delivery_case.required_file,You have to upload file delivery cases,Bạn phải tải lên file delivery cases,You have to upload file delivery cases,You have to upload file delivery cases
order_import.required_file,You have to upload file order financial status,Bạn phải tải lên file order financial status,You have to upload file order financial status,You have to upload file order financial status
delivery_case.status_import,Delivery case status,Trạng thái delivery case,Delivery case status,Delivery case status
delivery_case.status_success,Success,Thành công,success,success
delivery_case.status_fail,Import fail,Thất bại,Import fail,Import fail
customer.title,Subscribers,Danh sách khách hàng,ลูกค้า,Subscribers
customer.name,Name,Tên khách hàng,ชื่อ,Name
customer.phone,Phone,Số điện thoại,โทรศัพท์,Phone
customer.email,Email,Email,อีเมล,Email
customer.status,Status,Trạng thái,สถานะ,Status
subscriber.title,Subscribers,Danh sách khách hàng,ลูกค้า,Subscribers
subscriber.name_filter,Search name of subscriber,Tìm kiếm theo tên,ค้นหาชื่อลูกค้า,Search name of subscriber
subscriber.email_filter,Search email of subscriber,Tìm kiếm theo email,ค้นหาอีเมลของลูกค้า,Search email of subscriber
subscriber.phone_filter,Search phone of subscriber,Tìm kiếm theo số điện thoại,ค้นหาโทรศัพท์ของลูกค้า,Search phone of subscriber
subscriber.status_filter,Search status of subscriber,Tìm kiếm theo trạng thái,สถานะการค้นหาของลูกค้า,Search status of subscriber
subscriber.date_filter,Search for created date,Tìm kiếm theo ngày tạo,ค้นหาวันที่สร้าง,Search for created date
subscriber.name,Subscriber Name,Tên khách hàng,ชื่อลูกค้า,Subscriber Name
subscriber.email,Email Address,Địa chỉ email,ที่อยู่อีเมล,Email Address
subscriber.phone,Phone Number,Số điện thoại,หมายเลขโทรศัพท์,Phone Number
subscriber.status,Status,Trạng thái,สถานะ,Status
subscriber_status.new,New,Mới,ใหม่,New
subscriber_status.processing,Processing,Đang xử lý,กำลังดำเนินการ,Processing
subscriber_status.created,Vendor Created,Đối tác đã được tạo,สร้างโดยผู้ขาย,Vendor Created
subscriber_status.closed,Closed,Đóng,ปิด,Closed
subscriber.created,Created At,Ngày tạo,สร้าง At,Created At
subscriber.market,Markets,Thị trường,Markets,Markets
subscriber.quantity,Quantity per month,Lượng đơn trên tháng,Quantity per month,Quantity per month
subscriber.businessProduct,Business Products,Sản phẩm kinh doanh,Business Products,Business Products
subscriber.platform,Business Platforms,Nền tảng đang sử dụng để kinh doanh,Business Platforms,Business Platforms
subscriber.note,Content,Nội dung,Content,Content
product.create_title,Create Product,Thêm mới sản phẩm,Create Product,Create Product
product.title,Product,Sản phẩm,Product,Product
product.name,Product Name,Tên sản phẩm,Name,Name
product.name_pl,Enter product name,Nhập tên sản phẩm,Enter name,Enter name
product.code,Product Code,Mã sản phẩm,Code,Code
product.code_pl,Enter product code,Nhập mã sản phẩm,Enter code,Enter code
product.manufactory,Manufactory,Nhà sản xuất,Manufactory,Manufactory
product.manufactory_pl,Enter manufactory,Nhập tên nhà sản xuất,Enter manufactory,Enter manufactory
product.group_product,Group product,Nhóm sản phẩm,Group product,Group product
product.group_product_pl,Select group product,Chọn nhóm sản phẩm,Select group product,Select group product
product.description,Description,Mô tả,Description,Description
product.description_pl,Enter description,Nhập mô tả,Enter description,Enter description
product.property,Properties,Thuộc tính,Properties,Properties
product.vendor,Vendors,Đối tác,Vendors,Vendors
product.attribute_name_pl,Enter attribute name,Nhập tên thuộc tính,Enter attribute name,Enter attribute name
product.detail_property,Detail,Chi tiết,Detail,Detail
telesales.title,Telesales,Telesales,Telesales,Telesales
telesales.group,Groups,Nhóm,Groups,Groups
telesales.team,Team,Nhóm,Team,Team
telesales.name,Telesales Name,Tên Telesales,Telesales Name,Telesales Name
telesales.email,Email,Email,Email,Email
telesales.group_name,Telesales Group,Nhóm Telesales,Telesales Group,Telesales Group
telesales.group_name_pl,Search group,Chọn nhóm telesales,Search group,Search group
telesales.add,New Telesales,Telesales mới,New Telesales,New Telesales
telesales.display,Display Name,Tên hiển thị,Display Name,Display Name
telesales.search_user,Search username,Tìm username,Search username,Search username
group.name_code,Group Name/Code,Tên/ Mã nhóm,Group Name/Code,Group Name/Code
group.leader,Leader,Trưởng nhóm,Leader,Leader
group.leader_pl,Search Leader,Tìm kiếm trưởng nhóm,Search Leader,Search Leader
group.add,New Group,Nhóm mới,New Group,New Group
group.name,Group Name,Tên nhóm,Group Name,Group Name
group.code,Group Code,Mã nhóm,Group Code,Group Code
group.add_title,New Telesales Group,Nhóm Telesales mới,New Telesales Group,New Telesales Group
subscriber_status.done,Done,Đã đăng ký,Done,Done
subscriber_status.cancel,Cancel,Từ chối,Cancel,Cancel
group.name_pl,Enter name of group,Nhập tên nhóm,Enter name of group,Enter name of group
group.code_pl,Enter code of group,Nhập mã nhóm,Enter code of group,Enter code of group
stringee.invalid,Invalid number format,Số điện thoại không đúng định dạng,Invalid number format,Invalid number format
stringee.media_error,You need to check for permissions on your microphone,Bạn cần cấp quyền microphone của bạn,You need to check for permissions on your microphone,You need to check for permissions on your microphone
stringee.not_found,Error. Please try again,Lỗi. Vui lòng thử lại,Error. Please try again,Error. Please try again
stringee.info_call,Info call,Thông tin cuộc gọi,Info call,Info call
package.filter_tracking,Search Tracking Number,Nhập vào mã vận đơn,Search Tracking Number,Search Tracking Number
package.from,From,Từ,From,From
package.to,To,Đến,To,To
package.filter_select_status,Select Shipment Status,Chọn trạng thái,Select Shipment Status,Select Shipment Status
package.receiving_warehouse,Warehouse,Kho nhận,Warehouse,Warehouse
package.filter_receiving_warehouse,Select Warehouse,Chọn kho nhận,Select Warehouse,Select Warehouse
package.create,New Inbound Shipment,Tạo kiện nhập,New Inbound Shipment,New Inbound Shipment
package.create_handicraft,Manually Create Inbound Shipment,Tạo kiện nhập thủ công,Manually Create Inbound Shipment,Manually Create Inbound Shipment
package.title,Inbound Shipment,Kiện nhập,Inbound Shipment,Inbound Shipment
package.code,Inbound Shipment code,Mã kiện,Inbound Shipment code,Inbound Shipment code
package.tracking,Tracking Number,Mã vận đơn,Tracking Number,Tracking Number
package.declare_quantity,Declare Quantity,Số lượng khai báo,Declare Quantity,Declare Quantity
package.actual_quantity,Actual Quantity,Số lượng thực tế,Actual Quantity,Actual Quantity
package.fee,Fee,Chi phí,Fee,Fee
package.created_at,Created At,Thời gian tạo,Created At,Created At
package.warehouse,Warehouse,Kho,Warehouse,Warehouse
package.status,Shipment Status,Trạng thái kiện nhập,Shipment Status,Shipment Status
package.status_financial,Status financial,Trạng thái tài chính,Status financial,Status financial
package.filter,Filter,Lọc,Filter,Filter
package.clear_all_filter,Clear all filters,Xóa bộ lọc,Clear all filters,Clear all filters
package.filter_code,Search Inbound Shipment Code,Nhập vào mã kiện,Search Inbound Shipment Code,Search Inbound Shipment Code
package.code_sku,Product SKU Code,Mã SKU,Product SKU Code,Product SKU Code
package.filter_code_sku,Search Product SKU Code,Nhập vào mã SKU,Search Product SKU Code,Search Product SKU Code
package.cancel,Cancel,Hủy,Cancel,Cancel
package.inbound_info,Info Inbound Shipment,Thông tin kiện nhập,Info Inbound Shipment,Info Inbound Shipment
package.product_sku,Product SKU List,Danh sách sản phẩm,Product SKU List,Product SKU List
package.add_product_sku,New Product SKU,Thêm sản phẩm,New Product SKU,New Product SKU
package.sku_code,Product SKU Code,Mã SKU,Product SKU Code,Product SKU Code
package.sku_name,Product SKU Name,Tên sản phẩm,Product SKU Name,Product SKU Name
package.select_sku,Search Product Sku,Tìm kiếm mã SKU,Search Product Sku,Search Product Sku
package.copy,Duplicate,Sao lưu kiện nhập,Duplicate,Duplicate
package.import_file,Import file excel,Import file excel,Import file excel,Import file excel
package.choose_file,Chose file *.xlsx from your computer,Chọn file *.xlsx,Chose file *.xlsx from your computer,Chose file *.xlsx from your computer
package.error_sku,Can't find product sku,Không tìm thấy sản phẩm,Can't find product sku,Can't find product sku
package.list_success,Product SKU List Import Success,Danh sách sản phẩm import thành công,Product SKU List Import Success,Product SKU List Import Success
package.list_fail,Product SKU List Import Fail,Danh sách sản phẩm import thất bại,Product SKU List Import Fail,Product SKU List Import Fail
package.search_pl,Search product sku with sku code,Tìm kiếm sản phẩm theo sku code,Search product sku with sku code,Search product sku with sku code
package.shipment_title,New Inbound Shipment From Purchasing Service,Nhập từ hệ thống mua hộ,New Inbound Shipment From Purchasing Service,New Inbound Shipment From Purchasing Service
package.shipment_account,Purchasing Account,Tài khoản,Purchasing Account,Purchasing Account
package.shipment_account_pl,Select purchasing account,Chọn tài khoản,Select purchasing account,Select purchasing account
package.shipment_order,Order Number,Đơn hàng,Order Number,Order Number
package.shipment_order_pl,Select order number ,Chọn đơn hàng,Select order number ,Select order number 
package.added,Added,Đã thêm,Added,Added
package-detail.created_at,Created At,Ngày nhập kho,Created At,Created At
package-detail.warehouse_address,Warehouse Address,Địa chỉ kho nhận,Warehouse Address,Warehouse Address
package-detail.weight,Gross Weight,Cân nặng,Gross Weight,Gross Weight
package-detail.import_cost,Import cost,Chi phí nhập kho,Import cost,Import cost
package-detail.note,Note,Ghi chú,Note,Note
package-detail.title_package,Inbound Shipment List,Danh sách kiện nhập,Inbound Shipment List,Inbound Shipment List
package-detail.number,Number,Số lượng,Number,Number
package-detail.product_name,Product Name,Tên sản phẩm,Product Name,Product Name
package-detail.title,Inbound Shipment Detail,Chi tiết kiện nhập,Inbound Shipment Detail,Inbound Shipment Detail
package-detail.summary,Summary,Tổng quan,Summary,Summary
sell_channel.title,Sell Channel,Kênh bán,Sell Channel,Sell Channel
sell_channel.store,Store,Tên cửa hàng,Store,Store
sell_channel.ecommerce,E-Commerce Exchange,Kênh,E-Commerce Exchange,E-Commerce Exchange
sell_channel.export_warehouse,Export Warehouse,Kho xuất,Export Warehouse,Export Warehouse
sell_channel.connection_expiration,Connection expiration,Thời gian hết hạn kết nối,Connection expiration,Connection expiration
sell_channel.add_account,Add Account,Thêm tài khoản,Add Account,Add Account
sell_channel.add_connection,Add Connection,Thêm kết nối,Add Connection,Add Connection
sell_channel.ecommerce_placeholder,Select E-Commerce Exchange,Chọn kênh,Select E-Commerce Exchange,Select E-Commerce Exchange
sell_channel.export_warehouse_placeholder,Select Export Warehouse,Chọn kho xuất,Select Export Warehouse,Select Export Warehouse
inventory.title,Inventory,Hàng tồn,Inventory,Inventory
inventory.sku_name,SKU name,Tên SKU,SKU name,SKU name
inventory.sku_name_pl,Enter SKU name,Nhập tên SKU,Enter SKU name,Enter SKU name
report.title,Telesales reports,Báo cáo telesales,Telesales reports,Telesales reports
report.call_title,Performance by Call Status,Báo cáo cuộc gọi,Performance by Call Status,Performance by Call Status
report.telesales_title,Performance by Telesales,Báo cáo hiệu suất telesales,Performance by Telesales,Performance by Telesales
report.call_step,Step,Trạng thái,Step,Step
report.call_status,Last Event Status,Trạng thái cuộc gọi,Last Event Status,Last Event Status
report.contact,Contacts,Số lượng liên hệ,Contacts,Contacts
report.percentage,Percentage,Phần trăm,Percentage,Percentage
report.sub_total,Sub-total,Sub-total,Sub-total,Sub-total
report.total,Total Assigned,Total Assigned,Total Assigned,Total Assigned
report.call_new,New,Mới,New,New
report.on_process,On process,Đang thực hiện,On process,On process
report.agreed,Agreed,Đã đồng ý,Agreed,Agreed
report.declined,Declined,Đã từ chối,Declined,Declined
setting.title,Settings,Cài đặt,Settings,Settings
setting.sla,SLA settings,Cài đặt SLA,SLA settings,SLA settings
setting.assign,Assignment cancellation settings,Cài đặt hủy Assignment,Assignment cancellation settings,Assignment cancellation settings
setting.last_update,Last updated at,Thời gian cập nhật gần nhất,Last updated at,Last updated at
setting.update_at,Updated at,Thời gian cập nhật,Updated at,Updated at
setting.update_by,Updated by,Cập nhật bởi,Updated by,Updated by
setting.update_history,Update history,Lịch sử cập nhật,Update history,Update history
setting.action_name,Action name,Tên hành động,Action name,Action name
setting.if_condition,If (Condition),Nếu (Điều kiện),If (Condition),If (Condition)
setting.contact_status,Contact (Status),Liên hệ (Trạng thái),Contact (Status),Contact (Status)
setting.after_day,After (Hours),Sau (Giờ),After (Hours),After (Hours)
setting.then_action,Then (Action),Sau đó (Hành động),Then (Action),Then (Action)
setting.rule_code,Rule code,Mã luật,Rule code,Rule code
setting.rule_name,Rule name,Tên luật,Rule name,Rule name
setting.max_of_stock,Maximum of stock,Số lượng tồn kho tối đa,Maximum of stock,Maximum of stock
setting.contact_quantity,Get Contact Quantity,Số lượng liên hệ được gán,Get Contact Quantity,Get Contact Quantity
report.telesales,Telesales,Telesales,Telesales,Telesales
report.email,Email,Email,Email,Email
report.assigned,Assigned,Người được chọn,Assigned,Assigned
report.agreed_rate,Agreed Rate,Agreed Rate,Agreed Rate,Agreed Rate
report.delivered_rate,Delivered Rate,Delivered Rate,Delivered Rate,Delivered Rate
report.sla_code,SLA Rule Name,Tên luật SLA,SLA Rule Name,SLA Rule Name
